"run_id","image_id","title","prompt_text","prompt_title_use","flag_strict","flag_title_aware","notes"
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","1","Pumped Up Kicks","A boy in a striped shirt and red high-top sneakers jumps energetically in a park, holding a large, brightly colored watering can. He is surrounded by rolling hills and a clear blue sky. The scene exudes youth, playfulness, and a carefree vibe. The boy is grinning widely, embodying a sense of spontaneity and joy. A single dandelion floats whimsically in the air beside him, adding to the lighthearted, fantastical atmosphere. The image captures a moment of pure, exuberant energy.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","5","Paranoid Android","A surreal landscape featuring a humanoid robot with wide, contemplative eyes, set against a bright, desaturated sky. The robot's body is segmented and mechanical, composed of metal and wires, with its arms outstretched toward an abstract, geometric cityscape in the distance. Oddly positioned strawberries float in the air, scattered around the figure. The scene is bathed in an otherworldly blue glow, creating a stark contrast with the mechanical components. The background includes elements of space and time, with distorted clocks and fragmented images of planets or celestial bodies. The overall composition evokes a sense of isolation and curiosity, blending dystopian and dreamlike qualities.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","9","Midnight City","A dark, sprawling cityscape at night with neon signs spelling out ""City,"" illuminated streetlights, and the faint glow of distant buildings under a starry sky. Silhouettes of towering skyscrapers dominate the horizon. In the foreground, a lone figure with a flashlight casts long shadows in an empty, cobblestone street.","0","1","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","13","Stressed Out","A person sitting on the edge of a diving board at a pool, wearing headphones and a distressed expression, surrounded by an overcast sky and palm trees in the distance.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","17","Time","A stopwatch with its needle frozen at the ""12"" position, superimposed on a faded image of a ticking grandfather clock. The hands of the clock appear blurred, emphasizing the theme of passing time. A single dust mote floats in the air, caught by a beam of light shining from the side, symbolizing the fleeting nature of moments. The background is a gradient of dark gray to blue, suggesting the passage of night to day. A small, fragile flower is shown just beginning to bloom, symbolizing the beginning of a new cycle.","n","1","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","21","Scar Tissue","A rugged, sunlit desert landscape with cacti in the foreground, under a blue sky with scattered clouds. A rocky trail winds through the terrain, and visible in the distance is a lone, weathered oak tree that bears scars from lightning strikes. The warm, dusty ground is sprinkled with small stones and patches of dry grass, evoking a sense of endurance and resilience. The lighting creates strong contrasts, emphasizing the texture of the terrain.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","25","Counting Stars","A young man stands in a dimly lit room, staring out a large window at the night sky. His hand gently brushes a guitar resting against his shoulder. Streaks of light and stars illuminate the scene, creating an almost ethereal glow around him. He appears contemplative, as though lost in thought or reflection. The room has minimal furnishings, with a solitary chair and a soft glow coming from a distant lamp, casting shadows that blend into the darkness. The atmosphere is intimate, with a focus on the connection between the man, his guitar, and the vastness of the starry night outside. The overall mood conveys a sense of introspection and longing, resonating with themes of hope and desire for a better tomorrow.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","29","Immigrant Song","A group of Viking warriors in traditional attire rows powerfully in a longship across a choppy sea at dusk, with flames of fire or sunlight reflecting off the waves. The scene captures a sense of urgency and energy, highlighting dynamic movement and bold silhouettes against a dramatic, fiery backdrop.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","33","Uprising","A group of determined protesters marching through a bustling city, their fists raised in unity, carrying banners and flags emblazoned with revolutionary symbols, as a bright phoenix rises from the center of the crowd, symbolizing hope and rebirth amidst the chaos. The skyline is silhouetted with industrial smokestacks and a glowing sunrise or sunset in the background, adding a sense of optimism and action.","0","0","0",""
"20260903T230744Z_direct-pg-q25-bi-q25_07602cd9","37","Duality","A close-up of two identical, symmetrical figures holding identical objects, mirrored as if standing in front of a reflective surface. Each figure has distinct, contrasting attributes—a black-and-white color scheme, one wearing modern, sleek glasses and the other with a vintage, opulent crown, symbolizing different personas or sides of the same entity.","0","0","0",""
